ID,RegionID,RegionName,City,CountyName,State,Metro,Date,ZORI_Rent,Year,Month,ZORI_Rent_Formatted
96,72472,33169,Miami Gardens,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
97,72348,33010,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
98,72463,33160,North Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2051.700665,2020,2,"$2,051.70 "
99,72474,33172,Fountainbleau,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
100,72352,33014,Miami Lakes,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1590.657984,2020,2,"$1,590.66 "
101,72437,33134,Coral Gables,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2000.187597,2020,2,"$2,000.19 "
102,72387,33055,Opa-locka,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
103,72368,33030,Homestead,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
104,72388,33056,Miami Gardens,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
105,72442,33139,Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1975.987583,2020,2,"$1,975.99 "
106,72485,33183,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
107,72438,33135,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
108,72444,33141,Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1633.983503,2020,2,"$1,633.98 "
109,72482,33180,Aventura,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2141.706821,2020,2,"$2,141.71 "
110,72476,33174,Fountainbleau,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
111,72351,33013,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
112,72433,33130,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2126.961673,2020,2,"$2,126.96 "
113,72453,33150,West Little River,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
114,72436,33133,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2173.59579,2020,2,"$2,173.60 "
115,72446,33143,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1877.101805,2020,2,"$1,877.10 "
116,72459,33156,Pinecrest,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1848.558773,2020,2,"$1,848.56 "
117,72475,33173,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
118,72430,33127,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1706.933989,2020,2,"$1,706.93 "
119,72448,33145,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1802.66935,2020,2,"$1,802.67 "
120,72386,33054,Opa-locka,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
121,72447,33144,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
122,72441,33138,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,1540.732824,2020,2,"$1,540.73 "
123,72487,33185,,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
124,72469,33166,Miami Springs,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
125,72470,33167,Westview,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
126,72491,33189,Cutler Bay,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
127,72471,33168,North Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
128,72443,33140,Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2249.863682,2020,2,"$2,249.86 "
129,72486,33184,Tamiami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
130,72434,33131,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2397.577325,2020,2,"$2,397.58 "
131,72440,33137,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2269.568034,2020,2,"$2,269.57 "
132,72483,33181,North Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
133,72372,33034,Florida City,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
134,72489,33187,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
135,72439,33136,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
136,72457,33154,Bal Harbour,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
137,72449,33146,Coral Gables,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2180.596406,2020,2,"$2,180.60 "
138,72452,33149,Key Biscayne,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
139,72373,33035,Homestead,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
140,72432,33129,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
141,72492,33190,Cutler Bay,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
142,72435,33132,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,2134.727867,2020,2,"$2,134.73 "
143,72431,33128,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
144,72426,33122,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2/29/2020,,2020,2,
145,72350,33012,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
146,72353,33015,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1529.445473,2020,3,"$1,529.45 "
147,72488,33186,The Crossings,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1752.664613,2020,3,"$1,752.66 "
148,72460,33157,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1796.821329,2020,3,"$1,796.82 "
149,72371,33033,Homestead,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1536.062663,2020,3,"$1,536.06 "
150,72480,33178,Doral,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,2058.405891,2020,3,"$2,058.41 "
151,72445,33142,Brownsville,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
152,72479,33177,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1705.309857,2020,3,"$1,705.31 "
153,72370,33032,Homestead,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
154,72464,33161,North Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
155,72468,33165,University Park,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
156,72497,33196,The Hammocks,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1656.415461,2020,3,"$1,656.42 "
157,72428,33125,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1593.409573,2020,3,"$1,593.41 "
158,72478,33176,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
159,72356,33018,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
160,72477,33175,Tamiami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
161,72494,33193,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1589.234586,2020,3,"$1,589.23 "
162,72429,33126,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1638.21966,2020,3,"$1,638.22 "
163,72354,33016,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
164,72481,33179,Ives Estates,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1535.724482,2020,3,"$1,535.72 "
165,72450,33147,West Little River,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
166,72465,33162,North Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1580.735696,2020,3,"$1,580.74 "
167,72458,33155,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
168,72472,33169,Miami Gardens,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
169,72348,33010,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
170,72463,33160,North Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,2013.091464,2020,3,"$2,013.09 "
171,72474,33172,Fountainbleau,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
172,72352,33014,Miami Lakes,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1619.663687,2020,3,"$1,619.66 "
173,72437,33134,Coral Gables,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1991.285741,2020,3,"$1,991.29 "
174,72387,33055,Opa-locka,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
175,72368,33030,Homestead,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
176,72388,33056,Miami Gardens,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
177,72442,33139,Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1969.171721,2020,3,"$1,969.17 "
178,72485,33183,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
179,72438,33135,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
180,72444,33141,Miami Beach,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1638.630559,2020,3,"$1,638.63 "
181,72482,33180,Aventura,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,2163.155011,2020,3,"$2,163.16 "
182,72476,33174,Fountainbleau,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
183,72351,33013,Hialeah,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
184,72433,33130,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,2140.135081,2020,3,"$2,140.14 "
185,72453,33150,West Little River,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
186,72436,33133,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,2196.304053,2020,3,"$2,196.30 "
187,72446,33143,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1873.458759,2020,3,"$1,873.46 "
188,72459,33156,Pinecrest,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1838.107048,2020,3,"$1,838.11 "
189,72475,33173,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
190,72430,33127,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1705.636999,2020,3,"$1,705.64 "
191,72448,33145,Miami,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,1808.591612,2020,3,"$1,808.59 "
192,72386,33054,Opa-locka,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3/31/2020,,2020,3,
